trophicGroup,experiment,year,region,annual_mean,annual_sd,annual_mean_u,annual_mean_l
Carni,ssp126,1980,Global,0.007225288408142585,2.3246659579193847,2.3318912463275274,-2.317440669511242
Carni,ssp126,1981,Global,0.014182690591705335,2.817932912908015,2.8321156034997204,-2.8037502223163093
Carni,ssp126,1982,Global,0.07670303442972216,2.788985074246627,2.8656881086763493,-2.7122820398169045
Carni,ssp126,1983,Global,0.025376055169018915,3.3570193558082018,3.3823954109772205,-3.331643300639183
Carni,ssp126,1984,Global,-0.06927102913194406,2.886026367184975,2.816755338053031,-2.955297396316919
Carni,ssp126,1985,Global,-0.04199626450371179,3.058443699786561,3.016447435282849,-3.100439964290273
Carni,ssp126,1986,Global,-0.013281632853433417,3.7221389916671472,3.708857358813714,-3.7354206245205805
Carni,ssp126,1987,Global,-0.004375737970861608,2.455256497368381,2.4508807593975193,-2.459632235339243
Carni,ssp126,1988,Global,-0.005402363574650043,2.5596969123171642,2.554294548742514,-2.5650992758918143
Carni,ssp126,1989,Global,0.00929555387946367,2.561302831197255,2.5705983850767185,-2.5520072773177915
Carni,ssp126,1990,Global,-0.02555652298710895,2.2658727356340553,2.2403162126469462,-2.2914292586211644
Carni,ssp126,1991,Global,-0.016742518845227535,2.5428669131024013,2.526124394257174,-2.559609431947629
Carni,ssp126,1992,Global,0.03294845676437454,3.3502580882591277,3.3832065450235023,-3.317309631494753
Carni,ssp126,1993,Global,-0.05563119381878643,2.4903516805936374,2.434720486774851,-2.5459828744124238
Carni,ssp126,1994,Global,-0.05059954762168205,2.23325409427607,2.1826545466543883,-2.283853641897752
Carni,ssp126,1995,Global,-0.014221014848089773,2.93965438014352,2.9254333652954303,-2.95387539499161
Carni,ssp126,1996,Global,-0.0884909964545361,2.4128461576319657,2.32435516117743,-2.5013371540865017
Carni,ssp126,1997,Global,0.0798008916234165,3.564394084339321,3.6441949759627374,-3.4845931927159044
Carni,ssp126,1998,Global,0.06938249424124532,2.621996260786727,2.6913787550279724,-2.5526137665454818
Carni,ssp126,1999,Global,0.039983697580389346,2.427436689940653,2.4674203875210425,-2.387452992360264
Carni,ssp126,2000,Global,0.030670659922552943,2.947076494744919,2.9777471546674716,-2.916405834822366
Carni,ssp126,2001,Global,0.05450198553512597,2.5783232730333348,2.632825258568461,-2.5238212874982087
Carni,ssp126,2002,Global,0.14580896316495154,4.349942358782912,4.495751321947864,-4.20413339561796
Carni,ssp126,2003,Global,0.2675676635292384,4.264967252176999,4.532534915706237,-3.9973995886477605
Carni,ssp126,2004,Global,0.0695709333175566,2.810107275240968,2.879678208558525,-2.7405363419234114
