order,family,scientificName,aphiaID,TG_latest,References
Calanoida,Pontellidae,Labidocera acuta,104726,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera acutifrons,104727,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera aestiva,104728,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera cervi,346588,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera dakini,346589,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera detruncata,104730,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera farrani,346593,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera kroyeri kroyeri,1458653,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera laevidentata,220924,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera minuta,220921,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera moretoni,220925,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera pavo,104735,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera tasmanica,346613,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Pontellidae,Labidocera wollastoni,104736,carnivore,"(Richardson et al., 2006); contradicts (Benedetti et al., 2022) - omni"
Calanoida,Lucicutiidae,Lucicutia clausi,104595,omnivore,"(Benedetti et al., 2022)"
Calanoida,Lucicutiidae,Lucicutia flavicornis,104597,omnivore,"(Benedetti et al., 2022)"
Calanoida,Lucicutiidae,Lucicutia ovalis,104609,omnivore,"(Benedetti et al., 2022)"
Calanoida,Paracalanidae,Mecynocera clausi,104616,omnivore,"(Benedetti et al., 2022)"
Calanoida,Calanidae,Mesocalanus tenuicornis,104468,omnivore,"(Benedetti et al., 2022)"
Calanoida,Metridinidae,Metridia gerlachei,344689,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Metridia longa,104632,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Metridia lucens,104633,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Metridinidae,Metridia lucens lucens,850801,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Metridinidae,Metridia okhotensis,196783,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Metridinidae,Metridia pacifica,196784,omnivore,"(Richardson et al., 2006)(Benedetti et al., 2022)"
Calanoida,Clausocalanidae,Microcalanus pygmaeus,104513,omnivore,"(Benedetti et al., 2022)"
Calanoida,Acartiidae,Acartia,104108,omnivore,"(Richardson et al., 2006) (Benedetti et al., 2022)"
Calanoida,Paracalanidae,Acrocalanus,104192,omnivore,"(Benedetti et al., 2022)"
Calanoida,Aetideidae,Aetideus,104112,carnivore,"(Benedetti et al., 2022)"
